--------- [33817] [7363] [0] [0] [137766] [0] [0] [0] [0] 
xo------- [0] [0] [304] [450] [527] [2902] [1544] [767] [616] 
x-o------ [0] [66] [0] [978] [2648] [9] [1286] [414] [1643] 
x---o---- [0] [10] [7445] [0] [0] [0] [0] [0] [1621] 
x----o--- [0] [23] [0] [2125] [2562] [0] [548] [164] [1699] 
x-------o [0] [52] [214] [0] [2037] [405] [844] [0] [0] 
ox------- [0] [0] [5] [159] [1054] [64] [92] [1] [212] 
-x-o----- [0] [0] [0] [0] [1303] [93] [242] [6] [0] 
-x--o---- [6] [0] [0] [437] [0] [0] [1403] [0] [0] 
-x----o-- [180] [0] [0] [0] [1388] [0] [0] [0] [0] 
-x-----o- [120] [0] [0] [253] [284] [129] [0] [0] [0] 
o---x---- [0] [25680] [14451] [18992] [0] [6794] [8017] [4059] [1641] 
-o--x---- [26187] [0] [0] [5798] [0] [16183] [7034] [3449] [0] 
xoxo----- [0] [0] [0] [0] [1711] [365] [0] [0] [264] 
xox-o---- [0] [0] [0] [0] [0] [0] [0] [7005] [0] 
xox---o-- [0] [0] [0] [14] [125] [860] [0] [393] [1319] 
xox----o- [0] [0] [0] [0] [988] [0] [0] [0] [0] 
xoox----- [0] [0] [0] [0] [32] [2] [34] [38] [20] 
xo-xo---- [0] [0] [0] [0] [0] [7] [90] [10] [5] 
xo-x-o--- [0] [0] [8] [0] [62] [0] [28] [127] [21] 
xo-x--o-- [0] [0] [0] [0] [714] [0] [0] [0] [0] 
xo-x---o- [0] [0] [16] [0] [58] [0] [4] [0] [4] 
xo-x----o [0] [0] [2] [0] [35] [6] [14] [7] [0] 
xoo-x---- [0] [0] [0] [1172] [0] [281] [1147] [723] [20] 
xo-ox---- [0] [0] [266] [0] [0] [7] [1041] [21] [614] 
xo--xo--- [0] [0] [295] [116] [0] [0] [814] [0] [1710] 
xo--x-o-- [0] [0] [18] [1579] [0] [815] [0] [67] [858] 
xo--x--o- [0] [0] [14] [110] [0] [866] [98] [0] [1808] 
xo--x---o [0] [0] [909] [37937] [0] [2135] [926] [403] [0] 
xoo--x--- [0] [0] [0] [76] [699] [0] [128] [0] [14] 
xo-o-x--- [0] [0] [148] [0] [11] [0] [62] [19] [1078] 
xo--ox--- [0] [0] [0] [0] [0] [0] [0] [1888] [0] 
xo---xo-- [0] [0] [79] [0] [372] [0] [0] [174] [646] 
xo---x-o- [0] [0] [0] [0] [870] [0] [8] [0] [10] 
xo---x--o [0] [0] [27] [132] [301] [0] [245] [97] [0] 
xoo---x-- [0] [0] [0] [116] [60] [49] [0] [36] [92] 
xo--o-x-- [0] [0] [0] [366] [0] [0] [0] [127] [0] 
xo---ox-- [0] [0] [0] [196] [20] [0] [0] [2] [20] 
xo----xo- [0] [0] [2] [26] [44] [14] [0] [0] [2] 
xo----x-o [0] [0] [0] [72] [83] [65] [0] [101] [0] 
xoo----x- [0] [0] [0] [0] [100] [271] [15] [0] [0] 
xo--o--x- [0] [0] [41] [66] [0] [22] [43] [0] [100] 
xo---o-x- [0] [0] [12] [14] [65] [0] [138] [0] [7] 
xo----ox- [0] [0] [29] [7] [39] [161] [0] [0] [0] 
xo-----xo [0] [0] [14] [16] [93] [140] [44] [0] [0] 
xoo-----x [0] [0] [0] [54] [206] [4] [10] [238] [0] 
xo-o----x [0] [0] [54] [0] [30] [60] [2] [62] [0] 
xo--o---x [0] [0] [0] [0] [0] [0] [0] [3401] [0] 
xo---o--x [0] [0] [22] [14] [52] [0] [24] [57] [0] 
xo----o-x [0] [0] [74] [8] [76] [112] [0] [245] [0] 
xo-----ox [0] [0] [12] [12] [118] [18] [0] [0] [0] 
xxo-o---- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xxo--o--- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xxo---o-- [0] [0] [0] [0] [1916] [0] [0] [0] [0] 
xxo----o- [0] [0] [0] [0] [0] [25] [394] [0] [1445] 
