x-------- [0] [22] [88] [0] [63738] [12] [0] [0] [71] 
-x------- [4593] [0] [0] [15] [72592] [0] [2975] [1] [0] 
----x---- [67345] [87] [0] [0] [0] [0] [0] [0] [0] 
xox------ [0] [0] [0] [3] [5] [3] [7] [6] [4] 
xo-x----- [0] [0] [3] [0] [3] [2] [4] [1] [2] 
xo--x---- [0] [0] [0] [0] [0] [0] [5] [0] [64] 
xo---x--- [0] [0] [1] [4] [2] [0] [5] [2] [8] 
xo----x-- [0] [0] [1] [3] [6] [1] [0] [1] [1] 
xo-----x- [0] [0] [2] [3] [8] [3] [3] [0] [3] 
xo------x [0] [0] [0] [2] [15] [2] [2] [1] [0] 
xxo------ [0] [0] [0] [0] [406] [3] [15] [38] [92] 
x-ox----- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
x-o-x---- [0] [0] [0] [1] [0] [119] [0] [14] [4746] 
x-o--x--- [0] [3] [0] [92] [395] [0] [1] [1] [27] 
x-o---x-- [0] [0] [0] [14] [2] [1] [0] [1] [1] 
x-o----x- [0] [2] [0] [20] [39] [1] [1] [0] [156] 
x-o-----x [0] [0] [0] [0] [1] [1] [0] [0] [0] 
xx--o---- [0] [0] [12101] [37] [0] [140] [169] [0] [3] 
x-x-o---- [0] [16297] [0] [23] [0] [35] [5] [1471] [1] 
x---ox--- [0] [7434] [4478] [0] [0] [0] [655] [36703] [960] 
x---o---x [0] [9941] [2] [0] [0] [3759] [0] [0] [0] 
xx---o--- [0] [0] [2] [2] [5] [0] [1] [5] [5] 
x--x-o--- [0] [1] [2] [0] [6] [0] [3] [3] [2] 
x---xo--- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
x----ox-- [0] [3] [6] [1] [3] [0] [0] [2] [3] 
x----o-x- [0] [3] [3] [1] [14] [0] [2] [0] [2] 
xx------o [0] [0] [690] [3] [0] [1] [14] [15] [0] 
x---x---o [0] [0] [28362] [0] [0] [3] [23328] [0] [0] 
x----x--o [0] [1] [107] [6] [28] [0] [335] [7] [0] 
ox-x----- [0] [0] [34] [0] [156] [112] [319] [21] [5] 
ox--x---- [0] [0] [14] [42] [0] [0] [9] [6016] [0] 
ox---x--- [0] [0] [314] [18] [174] [0] [1110] [12] [2] 
ox-----x- [0] [0] [9] [0] [1629] [3] [70] [0] [12] 
-x-ox---- [5] [0] [0] [0] [0] [0] [19] [9] [2] 
-x-o-x--- [6] [0] [0] [0] [3] [0] [7] [3] [0] 
-x-o---x- [3] [0] [0] [0] [12] [2] [2] [0] [0] 
-x-xo---- [8244] [0] [0] [0] [0] [11] [3407] [2344] [2174] 
-x--o--x- [11426] [0] [0] [5994] [0] [0] [8592] [0] [0] 
-x--x-o-- [42] [0] [4] [123] [0] [5] [0] [5423] [2] 
-x---xo-- [340] [0] [1] [2] [35] [0] [0] [3] [294] 
-x--x--o- [8] [0] [0] [6] [0] [15] [154] [0] [0] 
xoxox---- [0] [0] [0] [0] [0] [1] [1] [2] [2] 
xoxo-x--- [0] [0] [0] [0] [2] [0] [3] [2] [3] 
xoxo--x-- [0] [0] [0] [0] [2] [2] [0] [2] [1] 
xoxo---x- [0] [0] [0] [0] [3] [2] [2] [0] [4] 
xoxo----x [0] [0] [0] [0] [2] [2] [2] [2] [0] 
xoxxo---- [0] [0] [0] [0] [0] [0] [2014] [1034] [0] 
xox-o-x-- [0] [0] [0] [2714] [0] [6] [0] [995] [23] 
xox-o--x- [0] [0] [0] [7945] [0] [3573] [383] [0] [209] 
xoxx--o-- [0] [0] [0] [0] [7] [2] [0] [2] [6] 
xox-x-o-- [0] [0] [0] [1] [0] [1] [0] [6] [56] 
xox--xo-- [0] [0] [0] [2] [2] [0] [0] [0] [16] 
xox---ox- [0] [0] [0] [2] [12] [9] [0] [0] [14] 
xox---o-x [0] [0] [0] [1] [1] [1] [0] [2] [0] 
xoxx---o- [0] [0] [0] [0] [5] [2] [2] [0] [2] 
xox-x--o- [0] [0] [0] [1] [0] [2] [0] [0] [1] 
xox---xo- [0] [0] [0] [2] [2] [1] [0] [0] [2] 
xooxx---- [0] [0] [0] [0] [0] [26] [0] [0] [2] 
xoox-x--- [0] [0] [0] [0] [2] [0] [1] [1] [0] 
